,yield,reactant_smiles,solvent_smiles,base_smiles,product_smiles,id,temperature,reaction_scale,base_amount,reaction_volume,solvent_1,solvent_2,amine_molecular_weight,amine_molecular_volume,amine_surface_area,amine_ovality,amine_hardness,amine_dipole_moment,amine_electronegativity,amine_E_HOMO,amine_E_LOMO,amine_V0_frequency,amine_V0_intensity,amine_V1_frequency,amine_V1_intensity,amine_V2_frequency,amine_V2_intensity,halide_molecular_weight,halide_molecular_volume,halide_surface_area,halide_ovality,halide_hardness,halide_dipole_moment,halide_electronegativity,halide_E_HOMO,halide_E_LOMO,halide_V0_frequency,halide_V0_intensity,halide_V1_frequency,halide_V1_intensity,halide_V2_frequency,halide_V2_intensity,ligand_molecular_weight,ligand_hardness,ligand_dipole_moment,ligand_electronegativity,ligand_E_HOMO,ligand_E_LOMO,ligand_.P1_electrostatic_charge,ligand_.P1_NMR_shift,halide_.C1_electrostatic_charge,halide_.C1_NMR_shift,amine_.N1_electrostatic_charge,amine_.N1_NMR_shift,halide_.C2_electrostatic_charge,halide_.C2_NMR_shift,amine_.C1_electrostatic_charge,amine_.C1_NMR_shift
0,65.39,CC(C)N1CCNCC1.CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=C(C=C(C=C3)F)F)C(=O)OCC)Br.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8,C1COCCO1,C(=O)([O-])[O-].[Cs+].[Cs+],CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=C(C=C(C=C3)F)F)C(=O)OCC)N4CCN(CC4)C(C)C,1,110.0,0.00089,0.00222,0.0,2.25,0.73,128.22,204.98672,314.60043,0.40669,0.28236,0.4446,0.0592,-0.34155,0.22316,0.0,0.0,0.0,0.0,0.0,0.0,451.3,460.34872,971.15454,0.73206,0.17835,2.7437,0.12736,-0.3057,0.05099,1741.729,218.4954,754.1507,1.9964,799.1936,18.3229,622.7,0.07101,1.2076,0.11505,-0.18606,-0.04403,0.36563,220.8744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,57.47,CN1C=NC2=C1C=C(C(=C2F)N)C(=O)OC.C1=CC=C(C=C1)I.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,COC1=CC=CC=C1,C(=O)([O-])[O-].[Cs+].[Cs+],CN1C=NC2=C1C=C(C(=C2F)NC3=CC=CC=C3)C(=O)OC,2,100.0,0.00762,0.019,0.0332,4.33,-0.07,223.2,217.01096,538.94934,0.67072,0.17815,5.2416,0.10693,-0.28508,0.07122,0.0,0.0,0.0,0.0,0.0,0.0,204.01,147.41614,267.15558,0.43025,0.21148,1.8741,0.11597,-0.32745,0.09551,698.1941,16.0645,476.0157,1.11,230.8765,0.1993,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751,0.00046,135.5203,0.0,0.0,0.0,0.0,0.0,0.0
2,65.43,CN1C=NC2=C1C=C(C(=C2F)N)C(=O)OC.C1=CC=C(C=C1)I.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,COC1=CC=CC=C1,C(=O)([O-])[O-].[Cs+].[Cs+],CN1C=NC2=C1C=C(C(=C2F)NC3=CC=CC=C3)C(=O)OC,4,100.0,0.00672,0.0168,0.0149,4.33,-0.07,223.2,217.01096,538.94934,0.67072,0.17815,5.2416,0.10693,-0.28508,0.07122,0.0,0.0,0.0,0.0,0.0,0.0,204.01,147.41614,267.15558,0.43025,0.21148,1.8741,0.11597,-0.32745,0.09551,698.1941,16.0645,476.0157,1.11,230.8765,0.1993,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751,0.00046,135.5203,0.0,0.0,0.0,0.0,0.0,0.0
3,75.07,CN1C=NC2=C1C=C(C(=C2F)N)C(=O)OC.C1=CC=C(C=C1)I.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,COC1=CC=CC=C1,C(=O)([O-])[O-].[Cs+].[Cs+],CN1C=NC2=C1C=C(C(=C2F)NC3=CC=CC=C3)C(=O)OC,5,100.0,0.00672,0.0168,0.0298,4.33,-0.07,223.2,217.01096,538.94934,0.67072,0.17815,5.2416,0.10693,-0.28508,0.07122,0.0,0.0,0.0,0.0,0.0,0.0,204.01,147.41614,267.15558,0.43025,0.21148,1.8741,0.11597,-0.32745,0.09551,698.1941,16.0645,476.0157,1.11,230.8765,0.1993,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751,0.00046,135.5203,0.0,0.0,0.0,0.0,0.0,0.0
4,46.32,C1=CC(=CC=C1N)S(=O)(=O)N.CC1=NC(=C(C=C1)OC2=CC(=NC=C2)Cl)C.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,CC(=O)N(C)C,C(=O)([O-])[O-].[Cs+].[Cs+],CC1=NC(=C(C=C1)OC2=CC(=NC=C2)NC3=CC=C(C=C3)S(=O)(=O)N)C,8,150.0,0.0276,0.00276,0.13,37.8,2.44,172.21,198.83593,377.03967,0.4974,0.21738,4.7367,0.11014,-0.32752,0.10724,0.0,0.0,0.0,0.0,0.0,0.0,234.68,284.10163,563.69525,0.5862,0.22195,3.5686,0.12429,-0.34624,0.09766,633.8702,1.9756,1635.5159,33.1864,321.3713,1.4303,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,76.03,C1=CC(=CC=C1N)S(=O)(=O)N.CC1=NC(=C(C=C1)OC2=CC(=NC=C2)Cl)C.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,CC(=O)N(C)C,C(=O)([O-])[O-].[Cs+].[Cs+],CC1=NC(=C(C=C1)OC2=CC(=NC=C2)NC3=CC=C(C=C3)S(=O)(=O)N)C,9,130.0,0.0426,0.00426,0.2,37.8,2.44,172.21,198.83593,377.03967,0.4974,0.21738,4.7367,0.11014,-0.32752,0.10724,0.0,0.0,0.0,0.0,0.0,0.0,234.68,284.10163,563.69525,0.5862,0.22195,3.5686,0.12429,-0.34624,0.09766,633.8702,1.9756,1635.5159,33.1864,321.3713,1.4303,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,40.86,C1=CC(=CC=C1N)S(=O)(=O)N.CC1=NC(=C(C=C1)OC2=CC(=NC=C2)Cl)C.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,CC(=O)N(C)C,C(=O)([O-])[O-].[Cs+].[Cs+],CC1=NC(=C(C=C1)OC2=CC(=NC=C2)NC3=CC=C(C=C3)S(=O)(=O)N)C,10,130.0,0.00852,0.00085,0.04,37.8,2.44,172.21,198.83593,377.03967,0.4974,0.21738,4.7367,0.11014,-0.32752,0.10724,0.0,0.0,0.0,0.0,0.0,0.0,234.68,284.10163,563.69525,0.5862,0.22195,3.5686,0.12429,-0.34624,0.09766,633.8702,1.9756,1635.5159,33.1864,321.3713,1.4303,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,62.38,C1=CC(=CC=C1N)S(=O)(=O)N.CC1=NC(=C(C=C1)OC2=CC(=NC=C2)Cl)C.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,CC(=O)N(C)C,C(=O)([O-])[O-].[Cs+].[Cs+],CC1=NC(=C(C=C1)OC2=CC(=NC=C2)NC3=CC=C(C=C3)S(=O)(=O)N)C,11,130.0,0.0277,0.00277,0.13,37.8,2.44,172.21,198.83593,377.03967,0.4974,0.21738,4.7367,0.11014,-0.32752,0.10724,0.0,0.0,0.0,0.0,0.0,0.0,234.68,284.10163,563.69525,0.5862,0.22195,3.5686,0.12429,-0.34624,0.09766,633.8702,1.9756,1635.5159,33.1864,321.3713,1.4303,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,31.78,CC(=O)N1CCNCC1.C1=C(C=NC=C1Br)Br.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C1COCCO1,C(=O)([O-])[O-].[Cs+].[Cs+],CC(=O)N1CCN(CC1)C2=CC(=CN=C2)Br,12,140.0,0.0052,0.0156,0.0,2.25,0.73,128.17,135.33212,307.31403,0.52396,0.26958,3.7597,0.08468,-0.35427,0.1849,0.0,0.0,0.0,0.0,0.0,0.0,236.89,202.69678,297.78445,0.38784,0.22184,0.769,0.13555,-0.35739,0.08629,761.8139,74.2648,130.2918,0.0805,1105.7224,17.2439,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,41.47,C1=CC(=CC=C1N)N2C=CN=C2.CN1CC(OC2=C(C1)C=CC(=N2)Cl)C3=CC=CC=C3.C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3C4=CC=CC=C4,COCCOC,C(=O)([O-])[O-].[Cs+].[Cs+],CN1CC(OC2=C(C1)C=CC(=N2)NC3=CC=C(C=C3)N4C=CN=C4)C5=CC=CC=C5,13,100.0,0.00044,0.00131,0.0025,7.2,0.45,159.19,233.67652,417.41333,0.49447,0.20862,5.5182,0.08658,-0.2952,0.12204,0.0,0.0,0.0,0.0,0.0,0.0,274.74,256.89804,672.65137,0.74805,0.21709,4.5743,0.11154,-0.32863,0.10555,1055.325,128.9235,866.0732,10.3074,897.6162,16.0839,350.5,0.08518,1.0986,0.10218,-0.18736,-0.017,0.40051,315.5936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
