,0_reactant,1_reactant,2_reactant,base_smiles,solvent_smiles,product_smiles,yield
243,C1CC1C(=O)NC2=NC=CC(=C2)Cl,C1OC2=C(C(=CN=C2O1)Cl)N,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C(=O)([O-])[O-].[Cs+].[Cs+],C1COCCO1,C1CC1C(=O)NC2=NC=CC(=C2)NC3=C4C(=NC=C3Cl)OCO4,59.09
535,C1COCCC1CN,COC1=CC=C(C=C1)Br,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,CC(C)(C)[O-].[Na+],CC1=CC=CC=C1,COC1=CC=C(C=C1)NCC2CCOCC2,22.82
316,C1CNCCN1,C1=CC(=C(C=C1Cl)Br)C#N,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8,C(=O)([O-])[O-].[Cs+].[Cs+],C1COCCO1,C1CN(CCN1)C2=C(C=CC(=C2)Cl)C#N,0
12,CC(C)(C)OC(=O)N,C1=CN=C(C=C1F)Cl,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C(=O)([O-])[O-].[Cs+].[Cs+],C1COCCO1,CC(C)(C)OC(=O)NC1=NC=CC(=C1)F,19.46
161,CNC(=O)C1=C(C=CC=C1OC)N,C1=C(C(=CN=C1Cl)C(F)(F)F)I,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C(=O)([O-])[O-].[Cs+].[Cs+],C1COCCO1,CNC(=O)C1=C(C=CC=C1OC)NC2=CC(=NC=C2C(F)(F)F)Cl,63.83
242,CN1CCNCC1,C1=CC(=CC=C1O)Br,CC(C)CN1CCN2CCN(P1N(CC2)CC(C)C)CC(C)C,[Li+].C[Si](C)(C)[N-][Si](C)(C)C,CC1=CC=CC=C1,CN1CCN(CC1)C2=CC=C(C=C2)O,50.99
741,CC1=CC(=C(C=C1NC(=O)C)N)F,C1CC1NC2=CC(=NC3=C(C=NN23)C#N)Cl,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C(=O)([O-])[O-].[Cs+].[Cs+],CC(=O)N(C)C,CC1=CC(=C(C=C1NC(=O)C)NC2=NC3=C(C=NN3C(=C2)NC4CC4)C#N)F,16.17
708,C1=CN=C(N=C1)N,C1=CN=C(C=C1Cl)Cl,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C(=O)([O-])[O-].[Cs+].[Cs+],C1COCCO1,C1=CN=C(N=C1)NC2=NC=CC(=C2)Cl,51.71
443,COC(=O)C1=CC2=C(C(=C1)C3CCCN3)OC(=CC2=O)N4CCOCC4,C1=C(C=C(C=C1F)Br)F,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C(=O)([O-])[O-].[Cs+].[Cs+],C1COCCO1,COC(=O)C1=CC2=C(C(=C1)C3CCCN3C4=CC(=CC(=C4)F)F)OC(=CC2=O)N5CCOCC5,56.04
516,CC(C)(C)OC(=O)N[C@@H]1CCC[C@@H](C1)C(=O)N,C1CCC2=C(C=NN2CC1)C3=CC(=NC=C3F)Cl,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C(=O)([O-])[O-].[Cs+].[Cs+],C1COCCO1,CC(C)(C)OC(=O)N[C@@H]1CCC[C@@H](C1)C(=O)NC2=NC=C(C(=C2)C3=C4CCCCCN4N=C3)F,72.45
