,0_reactant,1_reactant,2_reactant,base_smiles,solvent_smiles,product_smiles,yield
356,C1=COC(=N1)N,C1=CN=C(C=C1Cl)Cl,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C(=O)([O-])[O-].[K+].[K+],COC1=CC=CC=C1,C1=CN=C(C=C1Cl)NC2=NC=CO2,49.6
487,CCOC(=O)C1=CN=C(O1)N,C1=CN=C(C=C1C#N)Cl,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C(=O)([O-])[O-].[Cs+].[Cs+],C1COCCO1,CCOC(=O)C1=CN=C(O1)NC2=NC=CC(=C2)C#N,60.08
239,C1COCCN1,CC(C)(C)OC(=O)C1=CC(=CN=C1)Br,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8,C(=O)([O-])[O-].[Cs+].[Cs+],CC1=CC=CC=C1,CC(C)(C)OC(=O)C1=CC(=CN=C1)N2CCOCC2,26.56
222,CC(C)(C)OC(=O)NCCC1CCNCC1,C1=CC=C(C=C1)Br,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,CC(C)(C)[O-].[Na+],CC1=CC=CC=C1,CC(C)(C)OC(=O)NCCC1CCN(CC1)C2=CC=CC=C2,0
418,C1=CC2=C(C=NN2C=C1)C3=NC(=NC=C3Cl)N,COC1=C(C=C(C=C1)[N+](=O)[O-])Br,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C(=O)([O-])[O-].[Cs+].[Cs+],C1COCCO1,COC1=C(C=C(C=C1)[N+](=O)[O-])NC2=NC=C(C(=N2)C3=C4C=CC=CN4N=C3)Cl,0
701,CC1=CSC(=N1)N,C1COCC(=O)N1C2=NC(=CC=C2)Br,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C(=O)([O-])[O-].[Cs+].[Cs+],CC1=CC=CC=C1,CC1=CSC(=N1)NC2=NC(=CC=C2)N3CCOCC3=O,80.02
187,CC(C)(C)OC(=O)NC,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC5=C4SC6=C5C=C(C=C6)OS(=O)(=O)C(F)(F)F,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C(=O)([O-])[O-].[Cs+].[Cs+],C1COCCO1,CC(C)(C)OC(=O)N(C)C1=CC2=C(C=C1)SC3=C2C=CC=C3C4=CC=CC5=C4OC(=CC5=O)N6CCOCC6,34.93
659,COC1=CC=CC(=C1)N,C1=CC(=CC(=C1)Br)C(F)(F)F,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,CC(C)(C)[O-].[Na+],COC1=CC=CC=C1,COC1=CC=CC(=C1)NC2=CC=CC(=C2)C(F)(F)F,0
242,CN1CCNCC1,C1=CC(=CC=C1O)Br,CC(C)CN1CCN2CCN(P1N(CC2)CC(C)C)CC(C)C,[Li+].C[Si](C)(C)[N-][Si](C)(C)C,CC1=CC=CC=C1,CN1CCN(CC1)C2=CC=C(C=C2)O,50.99
229,CONC(=O)C1=CC=CC=C1N,CC1=C(C(=NN1C)C)NC2=NC=C(C(=C2)I)C(F)(F)F,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C(=O)([O-])[O-].[Cs+].[Cs+],C1COCCO1,CC1=C(C(=NN1C)C)NC2=NC=C(C(=C2)NC3=CC=CC=C3C(=O)NOC)C(F)(F)F,89.15
399,C1=CC(=CC=C1N)S(=O)(=O)N,C1=CC=C(C=C1)Br,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C(=O)([O-])[O-].[Cs+].[Cs+],CC(=O)N(C)C,C1=CC=C(C=C1)NC2=CC=C(C=C2)S(=O)(=O)N,41.61
